Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Channel Partners,Germany,Paseo,,367.000,10,12,4404.000,0.000,4404.000,1101.000,3303.000,2014-07-01,7,July,2014
Government,Mexico,Paseo,,883.000,10,7,6181.000,0.000,6181.000,4415.000,1766.000,2014-08-01,8,August,2014
Midmarket,France,Paseo,,549.000,10,15,8235.000,0.000,8235.000,5490.000,2745.000,2013-09-01,9,September,2013
Small Business,Mexico,Paseo,,788.000,10,300,236400.000,0.000,236400.000,197000.000,39400.000,2013-09-01,9,September,2013
Midmarket,Mexico,Paseo,,2472.000,10,15,37080.000,0.000,37080.000,24720.000,12360.000,2014-09-01,9,September,2014
Government,United States of America,Paseo,,1143.000,10,7,8001.000,0.000,8001.000,5715.000,2286.000,2014-10-01,10,October,2014
Government,Canada,Paseo,,1725.000,10,350,603750.000,0.000,603750.000,448500.000,155250.000,2013-11-01,11,November,2013
Channel Partners,United States of America,Paseo,,912.000,10,12,10944.000,0.000,10944.000,2736.000,8208.000,2013-11-01,11,November,2013
Midmarket,Canada,Paseo,,2152.000,10,15,32280.000,0.000,32280.000,21520.000,10760.000,2013-12-01,12,December,2013
Government,Canada,Paseo,,1817.000,10,20,36340.000,0.000,36340.000,18170.000,18170.000,2014-12-01,12,December,2014
Government,Germany,Paseo,,1513.000,10,350,529550.000,0.000,529550.000,393380.000,136170.000,2014-12-01,12,December,2014
Government,Mexico,Velo,,1493.000,120,7,10451.000,0.000,10451.000,7465.000,2986.000,2014-01-01,1,January,2014
Enterprise,France,Velo,,1804.000,120,125,225500.000,0.000,225500.000,216480.000,9020.000,2014-02-01,2,February,2014
Channel Partners,Germany,Velo,,2161.000,120,12,25932.000,0.000,25932.000,6483.000,19449.000,2014-03-01,3,March,2014
Government,Germany,Velo,,1006.000,120,350,352100.000,0.000,352100.000,261560.000,90540.000,2014-06-01,6,June,2014
Channel Partners,Germany,Velo,,1545.000,120,12,18540.000,0.000,18540.000,4635.000,13905.000,2014-06-01,6,June,2014
Enterprise,United States of America,Velo,,2821.000,120,125,352625.000,0.000,352625.000,338520.000,14105.000,2014-08-01,8,August,2014
Enterprise,Canada,Velo,,345.000,120,125,43125.000,0.000,43125.000,41400.000,1725.000,2013-10-01,10,October,2013
Small Business,Canada,VTT,,2001.000,250,300,600300.000,0.000,600300.000,500250.000,100050.000,2014-02-01,2,February,2014
Channel Partners,Germany,VTT,,2838.000,250,12,34056.000,0.000,34056.000,8514.000,25542.000,2014-04-01,4,April,2014
Midmarket,France,VTT,,2178.000,250,15,32670.000,0.000,32670.000,21780.000,10890.000,2014-06-01,6,June,2014
Midmarket,Germany,VTT,,888.000,250,15,13320.000,0.000,13320.000,8880.000,4440.000,2014-06-01,6,June,2014
Government,France,VTT,,1527.000,250,350,534450.000,0.000,534450.000,397020.000,137430.000,2013-09-01,9,September,2013
Small Business,France,VTT,,2151.000,250,300,645300.000,0.000,645300.000,537750.000,107550.000,2014-09-01,9,September,2014
Government,Canada,VTT,,1817.000,250,20,36340.000,0.000,36340.000,18170.000,18170.000,2014-12-01,12,December,2014
Government,France,Amarilla,,2750.000,260,350,962500.000,0.000,962500.000,715000.000,247500.000,2014-02-01,2,February,2014
Channel Partners,United States of America,Amarilla,,1953.000,260,12,23436.000,0.000,23436.000,5859.000,17577.000,2014-04-01,4,April,2014
Enterprise,Germany,Amarilla,,4219.500,260,125,527437.500,0.000,527437.500,506340.000,21097.500,2014-04-01,4,April,2014
Government,France,Amarilla,,1899.000,260,20,37980.000,0.000,37980.000,18990.000,18990.000,2014-06-01,6,June,2014
Government,Germany,Amarilla,,1686.000,260,7,11802.000,0.000,11802.000,8430.000,3372.000,2014-07-01,7,July,2014
Channel Partners,United States of America,Amarilla,,2141.000,260,12,25692.000,0.000,25692.000,6423.000,19269.000,2014-08-01,8,August,2014
Government,United States of America,Amarilla,,1143.000,260,7,8001.000,0.000,8001.000,5715.000,2286.000,2014-10-01,10,October,2014
Midmarket,United States of America,Amarilla,,615.000,260,15,9225.000,0.000,9225.000,6150.000,3075.000,2014-12-01,12,December,2014
Government,France,Paseo,Low,3945.000,10,7,27615.000,276.150,27338.850,19725.000,7613.850,2014-01-01,1,January,2014
Midmarket,France,Paseo,Low,2296.000,10,15,34440.000,344.400,34095.600,22960.000,11135.600,2014-02-01,2,February,2014
Government,France,Paseo,Low,1030.000,10,7,7210.000,72.100,7137.900,5150.000,1987.900,2014-05-01,5,May,2014
Government,France,Velo,Low,639.000,120,7,4473.000,44.730,4428.270,3195.000,1233.270,2014-11-01,11,November,2014
Government,Canada,VTT,Low,1326.000,250,7,9282.000,92.820,9189.180,6630.000,2559.180,2014-03-01,3,March,2014
Channel Partners,United States of America,Carretera,Low,1858.000,3,12,22296.000,222.960,22073.040,5574.000,16499.040,2014-02-01,2,February,2014
Government,Mexico,Carretera,Low,1210.000,3,350,423500.000,4235.000,419265.000,314600.000,104665.000,2014-03-01,3,March,2014
Government,United States of America,Carretera,Low,2529.000,3,7,17703.000,177.030,17525.970,12645.000,4880.970,2014-07-01,7,July,2014
Channel Partners,Canada,Carretera,Low,1445.000,3,12,17340.000,173.400,17166.600,4335.000,12831.600,2014-09-01,9,September,2014
Enterprise,United States of America,Carretera,Low,330.000,3,125,41250.000,412.500,40837.500,39600.000,1237.500,2013-09-01,9,September,2013
Channel Partners,France,Carretera,Low,2671.000,3,12,32052.000,320.520,31731.480,8013.000,23718.480,2014-09-01,9,September,2014
Channel Partners,Germany,Carretera,Low,766.000,3,12,9192.000,91.920,9100.080,2298.000,6802.080,2013-10-01,10,October,2013
Small Business,Mexico,Carretera,Low,494.000,3,300,148200.000,1482.000,146718.000,123500.000,23218.000,2013-10-01,10,October,2013
Government,Mexico,Carretera,Low,1397.000,3,350,488950.000,4889.500,484060.500,363220.000,120840.500,2014-10-01,10,October,2014
Government,France,Carretera,Low,2155.000,3,350,754250.000,7542.500,746707.500,560300.000,186407.500,2014-12-01,12,December,2014
Midmarket,Mexico,Montana,Low,2214.000,5,15,33210.000,332.100,32877.900,22140.000,10737.900,2014-03-01,3,March,2014
Small Business,United States of America,Montana,Low,2301.000,5,300,690300.000,6903.000,683397.000,575250.000,108147.000,2014-04-01,4,April,2014
Government,France,Montana,Low,1375.500,5,20,27510.000,275.100,27234.900,13755.000,13479.900,2014-07-01,7,July,2014
Government,Canada,Montana,Low,1830.000,5,7,12810.000,128.100,12681.900,9150.000,3531.900,2014-08-01,8,August,2014
Small Business,United States of America,Montana,Low,2498.000,5,300,749400.000,7494.000,741906.000,624500.000,117406.000,2013-09-01,9,September,2013
Enterprise,United States of America,Montana,Low,663.000,5,125,82875.000,828.750,82046.250,79560.000,2486.250,2013-10-01,10,October,2013
Midmarket,United States of America,Paseo,Low,1514.000,10,15,22710.000,227.100,22482.900,15140.000,7342.900,2014-02-01,2,February,2014
Government,United States of America,Paseo,Low,4492.500,10,7,31447.500,314.480,31133.020,22462.500,8670.520,2014-04-01,4,April,2014
Enterprise,United States of America,Paseo,Low,727.000,10,125,90875.000,908.750,89966.250,87240.000,2726.250,2014-06-01,6,June,2014
Enterprise,France,Paseo,Low,787.000,10,125,98375.000,983.750,97391.250,94440.000,2951.250,2014-06-01,6,June,2014
Enterprise,Mexico,Paseo,Low,1823.000,10,125,227875.000,2278.750,225596.250,218760.000,6836.250,2014-07-01,7,July,2014
Midmarket,Germany,Paseo,Low,747.000,10,15,11205.000,112.050,11092.950,7470.000,3622.950,2014-09-01,9,September,2014
Channel Partners,Germany,Paseo,Low,766.000,10,12,9192.000,91.920,9100.080,2298.000,6802.080,2013-10-01,10,October,2013
Small Business,United States of America,Paseo,Low,2905.000,10,300,871500.000,8715.000,862785.000,726250.000,136535.000,2014-11-01,11,November,2014
Government,France,Paseo,Low,2155.000,10,350,754250.000,7542.500,746707.500,560300.000,186407.500,2014-12-01,12,December,2014
Government,France,Velo,Low,3864.000,120,20,77280.000,772.800,76507.200,38640.000,37867.200,2014-04-01,4,April,2014
Government,Mexico,Velo,Low,362.000,120,7,2534.000,25.340,2508.660,1810.000,698.660,2014-05-01,5,May,2014
Enterprise,Canada,Velo,Low,923.000,120,125,115375.000,1153.750,114221.250,110760.000,3461.250,2014-08-01,8,August,2014
Enterprise,United States of America,Velo,Low,663.000,120,125,82875.000,828.750,82046.250,79560.000,2486.250,2013-10-01,10,October,2013
Government,Canada,Velo,Low,2092.000,120,7,14644.000,146.440,14497.560,10460.000,4037.560,2013-11-01,11,November,2013
Government,Germany,VTT,Low,263.000,250,7,1841.000,18.410,1822.590,1315.000,507.590,2014-03-01,3,March,2014
Government,Canada,VTT,Low,943.500,250,350,330225.000,3302.250,326922.750,245310.000,81612.750,2014-04-01,4,April,2014
Enterprise,United States of America,VTT,Low,727.000,250,125,90875.000,908.750,89966.250,87240.000,2726.250,2014-06-01,6,June,2014
Enterprise,France,VTT,Low,787.000,250,125,98375.000,983.750,97391.250,94440.000,2951.250,2014-06-01,6,June,2014
Small Business,Germany,VTT,Low,986.000,250,300,295800.000,2958.000,292842.000,246500.000,46342.000,2014-09-01,9,September,2014
Small Business,Mexico,VTT,Low,494.000,250,300,148200.000,1482.000,146718.000,123500.000,23218.000,2013-10-01,10,October,2013
Government,Mexico,VTT,Low,1397.000,250,350,488950.000,4889.500,484060.500,363220.000,120840.500,2014-10-01,10,October,2014
Enterprise,France,VTT,Low,1744.000,250,125,218000.000,2180.000,215820.000,209280.000,6540.000,2014-11-01,11,November,2014
Channel Partners,United States of America,Amarilla,Low,1989.000,260,12,23868.000,238.680,23629.320,5967.000,17662.320,2013-09-01,9,September,2013
Midmarket,France,Amarilla,Low,321.000,260,15,4815.000,48.150,4766.850,3210.000,1556.850,2013-11-01,11,November,2013
Enterprise,Canada,Carretera,Low,742.500,3,125,92812.500,1856.250,90956.250,89100.000,1856.250,2014-04-01,4,April,2014
Channel Partners,Canada,Carretera,Low,1295.000,3,12,15540.000,310.800,15229.200,3885.000,11344.200,2014-10-01,10,October,2014
Small Business,Germany,Carretera,Low,214.000,3,300,64200.000,1284.000,62916.000,53500.000,9416.000,2013-10-01,10,October,2013
Government,France,Carretera,Low,2145.000,3,7,15015.000,300.300,14714.700,10725.000,3989.700,2013-11-01,11,November,2013
Government,Canada,Carretera,Low,2852.000,3,350,998200.000,19964.000,978236.000,741520.000,236716.000,2014-12-01,12,December,2014
Channel Partners,United States of America,Montana,Low,1142.000,5,12,13704.000,274.080,13429.920,3426.000,10003.920,2014-06-01,6,June,2014
Government,United States of America,Montana,Low,1566.000,5,20,31320.000,626.400,30693.600,15660.000,15033.600,2014-10-01,10,October,2014
Channel Partners,Mexico,Montana,Low,690.000,5,12,8280.000,165.600,8114.400,2070.000,6044.400,2014-11-01,11,November,2014
Enterprise,Mexico,Montana,Low,1660.000,5,125,207500.000,4150.000,203350.000,199200.000,4150.000,2013-11-01,11,November,2013
Midmarket,Canada,Paseo,Low,2363.000,10,15,35445.000,708.900,34736.100,23630.000,11106.100,2014-02-01,2,February,2014
Small Business,France,Paseo,Low,918.000,10,300,275400.000,5508.000,269892.000,229500.000,40392.000,2014-05-01,5,May,2014
Small Business,Germany,Paseo,Low,1728.000,10,300,518400.000,10368.000,508032.000,432000.000,76032.000,2014-05-01,5,May,2014
Channel Partners,United States of America,Paseo,Low,1142.000,10,12,13704.000,274.080,13429.920,3426.000,10003.920,2014-06-01,6,June,2014
Enterprise,Mexico,Paseo,Low,662.000,10,125,82750.000,1655.000,81095.000,79440.000,1655.000,2014-06-01,6,June,2014
Channel Partners,Canada,Paseo,Low,1295.000,10,12,15540.000,310.800,15229.200,3885.000,11344.200,2014-10-01,10,October,2014
Enterprise,Germany,Paseo,Low,809.000,10,125,101125.000,2022.500,99102.500,97080.000,2022.500,2013-10-01,10,October,2013
Enterprise,Mexico,Paseo,Low,2145.000,10,125,268125.000,5362.500,262762.500,257400.000,5362.500,2013-10-01,10,October,2013
Channel Partners,France,Paseo,Low,1785.000,10,12,21420.000,428.400,20991.600,5355.000,15636.600,2013-11-01,11,November,2013
Small Business,Canada,Paseo,Low,1916.000,10,300,574800.000,11496.000,563304.000,479000.000,84304.000,2014-12-01,12,December,2014
Government,Canada,Paseo,Low,2852.000,10,350,998200.000,19964.000,978236.000,741520.000,236716.000,2014-12-01,12,December,2014
Enterprise,Canada,Paseo,Low,2729.000,10,125,341125.000,6822.500,334302.500,327480.000,6822.500,2014-12-01,12,December,2014
Midmarket,United States of America,Paseo,Low,1925.000,10,15,28875.000,577.500,28297.500,19250.000,9047.500,2013-12-01,12,December,2013
Government,United States of America,Paseo,Low,2013.000,10,7,14091.000,281.820,13809.180,10065.000,3744.180,2013-12-01,12,December,2013
Channel Partners,France,Paseo,Low,1055.000,10,12,12660.000,253.200,12406.800,3165.000,9241.800,2014-12-01,12,December,2014
Channel Partners,Mexico,Paseo,Low,1084.000,10,12,13008.000,260.160,12747.840,3252.000,9495.840,2014-12-01,12,December,2014
Government,United States of America,Velo,Low,1566.000,120,20,31320.000,626.400,30693.600,15660.000,15033.600,2014-10-01,10,October,2014
Government,Germany,Velo,Low,2966.000,120,350,1038100.000,20762.000,1017338.000,771160.000,246178.000,2013-10-01,10,October,2013
Government,Germany,Velo,Low,2877.000,120,350,1006950.000,20139.000,986811.000,748020.000,238791.000,2014-10-01,10,October,2014
Enterprise,Germany,Velo,Low,809.000,120,125,101125.000,2022.500,99102.500,97080.000,2022.500,2013-10-01,10,October,2013
Enterprise,Mexico,Velo,Low,2145.000,120,125,268125.000,5362.500,262762.500,257400.000,5362.500,2013-10-01,10,October,2013
Channel Partners,France,Velo,Low,1055.000,120,12,12660.000,253.200,12406.800,3165.000,9241.800,2014-12-01,12,December,2014
Government,Mexico,Velo,Low,544.000,120,20,10880.000,217.600,10662.400,5440.000,5222.400,2013-12-01,12,December,2013
Channel Partners,Mexico,Velo,Low,1084.000,120,12,13008.000,260.160,12747.840,3252.000,9495.840,2014-12-01,12,December,2014
Enterprise,Mexico,VTT,Low,662.000,250,125,82750.000,1655.000,81095.000,79440.000,1655.000,2014-06-01,6,June,2014
Small Business,Germany,VTT,Low,214.000,250,300,64200.000,1284.000,62916.000,53500.000,9416.000,2013-10-01,10,October,2013
Government,Germany,VTT,Low,2877.000,250,350,1006950.000,20139.000,986811.000,748020.000,238791.000,2014-10-01,10,October,2014
Enterprise,Canada,VTT,Low,2729.000,250,125,341125.000,6822.500,334302.500,327480.000,6822.500,2014-12-01,12,December,2014
Government,United States of America,VTT,Low,266.000,250,350,93100.000,1862.000,91238.000,69160.000,22078.000,2013-12-01,12,December,2013
Government,Mexico,VTT,Low,1940.000,250,350,679000.000,13580.000,665420.000,504400.000,161020.000,2013-12-01,12,December,2013
Small Business,Germany,Amarilla,Low,259.000,260,300,77700.000,1554.000,76146.000,64750.000,11396.000,2014-03-01,3,March,2014
Small Business,Mexico,Amarilla,Low,1101.000,260,300,330300.000,6606.000,323694.000,275250.000,48444.000,2014-03-01,3,March,2014
Enterprise,Germany,Amarilla,Low,2276.000,260,125,284500.000,5690.000,278810.000,273120.000,5690.000,2014-05-01,5,May,2014
Government,Germany,Amarilla,Low,2966.000,260,350,1038100.000,20762.000,1017338.000,771160.000,246178.000,2013-10-01,10,October,2013
Government,United States of America,Amarilla,Low,1236.000,260,20,24720.000,494.400,24225.600,12360.000,11865.600,2014-11-01,11,November,2014
Government,France,Amarilla,Low,941.000,260,20,18820.000,376.400,18443.600,9410.000,9033.600,2014-11-01,11,November,2014
Small Business,Canada,Amarilla,Low,1916.000,260,300,574800.000,11496.000,563304.000,479000.000,84304.000,2014-12-01,12,December,2014
Enterprise,France,Carretera,Low,4243.500,3,125,530437.500,15913.120,514524.380,509220.000,5304.380,2014-04-01,4,April,2014
Government,Germany,Carretera,Low,2580.000,3,20,51600.000,1548.000,50052.000,25800.000,24252.000,2014-04-01,4,April,2014
Small Business,Germany,Carretera,Low,689.000,3,300,206700.000,6201.000,200499.000,172250.000,28249.000,2014-06-01,6,June,2014
Channel Partners,United States of America,Carretera,Low,1947.000,3,12,23364.000,700.920,22663.080,5841.000,16822.080,2014-09-01,9,September,2014
Channel Partners,Canada,Carretera,Low,908.000,3,12,10896.000,326.880,10569.120,2724.000,7845.120,2013-12-01,12,December,2013
Government,Germany,Montana,Low,1958.000,5,7,13706.000,411.180,13294.820,9790.000,3504.820,2014-02-01,2,February,2014
Channel Partners,France,Montana,Low,1901.000,5,12,22812.000,684.360,22127.640,5703.000,16424.640,2014-06-01,6,June,2014
Government,France,Montana,Low,544.000,5,7,3808.000,114.240,3693.760,2720.000,973.760,2014-09-01,9,September,2014
Government,Germany,Montana,Low,1797.000,5,350,628950.000,18868.500,610081.500,467220.000,142861.500,2013-09-01,9,September,2013
Enterprise,France,Montana,Low,1287.000,5,125,160875.000,4826.250,156048.750,154440.000,1608.750,2014-12-01,12,December,2014
Enterprise,Germany,Montana,Low,1706.000,5,125,213250.000,6397.500,206852.500,204720.000,2132.500,2014-12-01,12,December,2014
Small Business,France,Paseo,Low,2434.500,10,300,730350.000,21910.500,708439.500,608625.000,99814.500,2014-01-01,1,January,2014
Enterprise,Canada,Paseo,Low,1774.000,10,125,221750.000,6652.500,215097.500,212880.000,2217.500,2014-03-01,3,March,2014
Channel Partners,France,Paseo,Low,1901.000,10,12,22812.000,684.360,22127.640,5703.000,16424.640,2014-06-01,6,June,2014
Small Business,Germany,Paseo,Low,689.000,10,300,206700.000,6201.000,200499.000,172250.000,28249.000,2014-06-01,6,June,2014
Enterprise,Germany,Paseo,Low,1570.000,10,125,196250.000,5887.500,190362.500,188400.000,1962.500,2014-06-01,6,June,2014
Channel Partners,United States of America,Paseo,Low,1369.500,10,12,16434.000,493.020,15940.980,4108.500,11832.480,2014-07-01,7,July,2014
Enterprise,Canada,Paseo,Low,2009.000,10,125,251125.000,7533.750,243591.250,241080.000,2511.250,2014-10-01,10,October,2014
Midmarket,Germany,Paseo,Low,1945.000,10,15,29175.000,875.250,28299.750,19450.000,8849.750,2013-10-01,10,October,2013
Enterprise,France,Paseo,Low,1287.000,10,125,160875.000,4826.250,156048.750,154440.000,1608.750,2014-12-01,12,December,2014
Enterprise,Germany,Paseo,Low,1706.000,10,125,213250.000,6397.500,206852.500,204720.000,2132.500,2014-12-01,12,December,2014
Enterprise,Canada,Velo,Low,2009.000,120,125,251125.000,7533.750,243591.250,241080.000,2511.250,2014-10-01,10,October,2014
Small Business,United States of America,VTT,Low,2844.000,250,300,853200.000,25596.000,827604.000,711000.000,116604.000,2014-02-01,2,February,2014
Channel Partners,Mexico,VTT,Low,1916.000,250,12,22992.000,689.760,22302.240,5748.000,16554.240,2014-04-01,4,April,2014
Enterprise,Germany,VTT,Low,1570.000,250,125,196250.000,5887.500,190362.500,188400.000,1962.500,2014-06-01,6,June,2014
Small Business,Canada,VTT,Low,1874.000,250,300,562200.000,16866.000,545334.000,468500.000,76834.000,2014-08-01,8,August,2014
Government,Mexico,VTT,Low,1642.000,250,350,574700.000,17241.000,557459.000,426920.000,130539.000,2014-08-01,8,August,2014
Midmarket,Germany,VTT,Low,1945.000,250,15,29175.000,875.250,28299.750,19450.000,8849.750,2013-10-01,10,October,2013
Government,Canada,Carretera,Low,831.000,3,20,16620.000,498.600,16121.400,8310.000,7811.400,2014-05-01,5,May,2014
Government,Mexico,Paseo,Low,1760.000,10,7,12320.000,369.600,11950.400,8800.000,3150.400,2013-09-01,9,September,2013
Government,Canada,Velo,Low,3850.500,120,20,77010.000,2310.300,74699.700,38505.000,36194.700,2014-04-01,4,April,2014
Channel Partners,Germany,VTT,Low,2479.000,250,12,29748.000,892.440,28855.560,7437.000,21418.560,2014-01-01,1,January,2014
Midmarket,Mexico,Montana,Low,2031.000,5,15,30465.000,1218.600,29246.400,20310.000,8936.400,2014-10-01,10,October,2014
Midmarket,Mexico,Paseo,Low,2031.000,10,15,30465.000,1218.600,29246.400,20310.000,8936.400,2014-10-01,10,October,2014
Midmarket,France,Paseo,Low,2261.000,10,15,33915.000,1356.600,32558.400,22610.000,9948.400,2013-12-01,12,December,2013
Government,United States of America,Velo,Low,736.000,120,20,14720.000,588.800,14131.200,7360.000,6771.200,2013-09-01,9,September,2013
Government,Canada,Carretera,Low,2851.000,3,7,19957.000,798.280,19158.720,14255.000,4903.720,2013-10-01,10,October,2013
Small Business,Germany,Carretera,Low,2021.000,3,300,606300.000,24252.000,582048.000,505250.000,76798.000,2014-10-01,10,October,2014
Government,United States of America,Carretera,Low,274.000,3,350,95900.000,3836.000,92064.000,71240.000,20824.000,2014-12-01,12,December,2014
Midmarket,Canada,Montana,Low,1967.000,5,15,29505.000,1180.200,28324.800,19670.000,8654.800,2014-03-01,3,March,2014
Small Business,Germany,Montana,Low,1859.000,5,300,557700.000,22308.000,535392.000,464750.000,70642.000,2014-08-01,8,August,2014
Government,Canada,Montana,Low,2851.000,5,7,19957.000,798.280,19158.720,14255.000,4903.720,2013-10-01,10,October,2013
Small Business,Germany,Montana,Low,2021.000,5,300,606300.000,24252.000,582048.000,505250.000,76798.000,2014-10-01,10,October,2014
Enterprise,Mexico,Montana,Low,1138.000,5,125,142250.000,5690.000,136560.000,136560.000,0.000,2014-12-01,12,December,2014
Government,Canada,Paseo,Low,4251.000,10,7,29757.000,1190.280,28566.720,21255.000,7311.720,2014-01-01,1,January,2014
Enterprise,Germany,Paseo,Low,795.000,10,125,99375.000,3975.000,95400.000,95400.000,0.000,2014-03-01,3,March,2014
Small Business,Germany,Paseo,Low,1414.500,10,300,424350.000,16974.000,407376.000,353625.000,53751.000,2014-04-01,4,April,2014
Small Business,United States of America,Paseo,Low,2918.000,10,300,875400.000,35016.000,840384.000,729500.000,110884.000,2014-05-01,5,May,2014
Government,United States of America,Paseo,Low,3450.000,10,350,1207500.000,48300.000,1159200.000,897000.000,262200.000,2014-07-01,7,July,2014
Enterprise,France,Paseo,Low,2988.000,10,125,373500.000,14940.000,358560.000,358560.000,0.000,2014-07-01,7,July,2014
Midmarket,Canada,Paseo,Low,218.000,10,15,3270.000,130.800,3139.200,2180.000,959.200,2014-09-01,9,September,2014
Government,Canada,Paseo,Low,2074.000,10,20,41480.000,1659.200,39820.800,20740.000,19080.800,2014-09-01,9,September,2014
Government,United States of America,Paseo,Low,1056.000,10,20,21120.000,844.800,20275.200,10560.000,9715.200,2014-09-01,9,September,2014
Midmarket,United States of America,Paseo,Low,671.000,10,15,10065.000,402.600,9662.400,6710.000,2952.400,2013-10-01,10,October,2013
Midmarket,Mexico,Paseo,Low,1514.000,10,15,22710.000,908.400,21801.600,15140.000,6661.600,2013-10-01,10,October,2013
Government,United States of America,Paseo,Low,274.000,10,350,95900.000,3836.000,92064.000,71240.000,20824.000,2014-12-01,12,December,2014
Enterprise,Mexico,Paseo,Low,1138.000,10,125,142250.000,5690.000,136560.000,136560.000,0.000,2014-12-01,12,December,2014
Channel Partners,United States of America,Velo,Low,1465.000,120,12,17580.000,703.200,16876.800,4395.000,12481.800,2014-03-01,3,March,2014
Government,Canada,Velo,Low,2646.000,120,20,52920.000,2116.800,50803.200,26460.000,24343.200,2013-09-01,9,September,2013
Government,France,Velo,Low,2177.000,120,350,761950.000,30478.000,731472.000,566020.000,165452.000,2014-10-01,10,October,2014
Channel Partners,France,VTT,Low,866.000,250,12,10392.000,415.680,9976.320,2598.000,7378.320,2014-05-01,5,May,2014
Government,United States of America,VTT,Low,349.000,250,350,122150.000,4886.000,117264.000,90740.000,26524.000,2013-09-01,9,September,2013
Government,France,VTT,Low,2177.000,250,350,761950.000,30478.000,731472.000,566020.000,165452.000,2014-10-01,10,October,2014
Midmarket,Mexico,VTT,Low,1514.000,250,15,22710.000,908.400,21801.600,15140.000,6661.600,2013-10-01,10,October,2013
Government,Mexico,Amarilla,Low,1865.000,260,350,652750.000,26110.000,626640.000,484900.000,141740.000,2014-02-01,2,February,2014
Enterprise,Mexico,Amarilla,Low,1074.000,260,125,134250.000,5370.000,128880.000,128880.000,0.000,2014-04-01,4,April,2014
Government,Germany,Amarilla,Low,1907.000,260,350,667450.000,26698.000,640752.000,495820.000,144932.000,2014-09-01,9,September,2014
Midmarket,United States of America,Amarilla,Low,671.000,260,15,10065.000,402.600,9662.400,6710.000,2952.400,2013-10-01,10,October,2013
Government,Canada,Amarilla,Low,1778.000,260,350,622300.000,24892.000,597408.000,462280.000,135128.000,2013-12-01,12,December,2013
Government,Germany,Montana,Medium,1159.000,5,7,8113.000,405.650,7707.350,5795.000,1912.350,2013-10-01,10,October,2013
Government,Germany,Paseo,Medium,1372.000,10,7,9604.000,480.200,9123.800,6860.000,2263.800,2014-01-01,1,January,2014
Government,Canada,Paseo,Medium,2349.000,10,7,16443.000,822.150,15620.850,11745.000,3875.850,2013-09-01,9,September,2013
Government,Mexico,Paseo,Medium,2689.000,10,7,18823.000,941.150,17881.850,13445.000,4436.850,2014-10-01,10,October,2014
Channel Partners,Canada,Paseo,Medium,2431.000,10,12,29172.000,1458.600,27713.400,7293.000,20420.400,2014-12-01,12,December,2014
